Chart,,
Category,Confirmed case,
44258.00,614,4
44259.00,619,4
44260.00,635,5
44261.00,540,4
44262.00,606,4
44263.00,845,5
44264.00,912,5
44265.00,1018,6
44266.00,1051,6
44267.00,1066,7
44268.00,1014,6
44269.00,1159,7
44270.00,1773,9
44271.00,1719,8
44272.00,1865,8
44273.00,2187,10
44274.00,1899,10
44275.00,1868,9
44276.00,2172,10
44277.00,2809,11
44278.00,3554,14
44279.00,3567,13
44280.00,3587,13
44281.00,3737,14
44282.00,3674,15
44283.00,3908,18
44284.00,5181,18
44285.00,5042,19
44286.00,5358,20
44287.00,6469,23
44288.00,6830,23
44289.00,5683,24
44290.00,7087,23
44291.00,7075,23
44292.00,7213,21
44293.00,7626,22
44294.00,6854,21
44295.00,7462,24
44296.00,5343,20
44297.00,5819,20
44298.00,7201,21
44299.00,6028,18
44300.00,5185,21
44301.00,4192,21
44302.00,4417,23
44303.00,3473,21
44304.00,3698,19
44305.00,4271,18
44306.00,4559,17
44307.00,4280,15
44308.00,4014,15
44309.00,3629,14
44310.00,2697,13
44311.00,2922,13
44312.00,3306,13
44313.00,3031,13
44314.00,2955,10
44315.00,2341,9
44316.00,2177,10
44317.00,1452,10
44318.00,1359,10
44319.00,1739,9
